Home Team,Home Score,Away Team,Away Score,Match Date
Atletico Madrid,0,Racing Santander,0, Monday 3rd January 2011.
Real Mallorca,3,Hercules,0, Monday 3rd January 2011.
Real Zaragoza,2,Real Sociedad,1, Monday 3rd January 2011.
Villarreal,2,Almeria,0, Monday 3rd January 2011.
Getafe,2,Real Madrid,3, Monday 3rd January 2011.
Athletic Bilbao,1,Deportivo La Coruna,2, Sunday 2nd January 2011.
Barcelona,2,Levante,1, Sunday 2nd January 2011.
Sporting Gijon,1,Malaga,2, Sunday 2nd January 2011.
Sevilla,1,Osasuna,0, Sunday 2nd January 2011.
Valencia,2,Espanyol,1, Sunday 2nd January 2011.
Racing Santander,0,Hercules,0, Monday 20th December 2010.
Almeria,2,Getafe,3, Sunday 19th December 2010.
Osasuna,0,Real Zaragoza,0, Sunday 19th December 2010.
Malaga,0,Atletico Madrid,3, Sunday 19th December 2010.
Real Madrid,1,Sevilla,0, Sunday 19th December 2010.
Deportivo La Coruna,1,Sporting Gijon,1, Saturday 18th December 2010.
Levante,1,Athletic Bilbao,2, Saturday 18th December 2010.
Villarreal,3,Real Mallorca,1, Saturday 18th December 2010.
Espanyol,1,Barcelona,5, Saturday 18th December 2010.
Real Sociedad,1,Valencia,2, Saturday 18th December 2010.
Valencia,3,Osasuna,3, Monday 13th December 2010.
Athletic Bilbao,2,Espanyol,1, Sunday 12th December 2010.
Hercules,4,Malaga,1, Sunday 12th December 2010.
Real Mallorca,0,Racing Santander,1, Sunday 12th December 2010.
Sporting Gijon,1,Levante,1, Sunday 12th December 2010.
Real Zaragoza,1,Real Madrid,3, Sunday 12th December 2010.
Barcelona,5,Real Sociedad,0, Sunday 12th December 2010.
Getafe,1,Villarreal,0, Saturday 11th December 2010.
Sevilla,1,Almeria,3, Saturday 11th December 2010.
Atletico Madrid,2,Deportivo La Coruna,0, Saturday 11th December 2010.
Deportivo La Coruna,1,Hercules,0, Monday 6th December 2010.
Almeria,1,Real Zaragoza,1, Sunday 5th December 2010.
